2026-09-15 21:54:50.886 | INFO     | __main__:build:10 - Building...
2026-09-21 14:25:18.529 | INFO     | app.services.meta_knowledge_service:build:206 - 加载配置文件成功
2026-09-21 14:25:18.668 | INFO     | app.services.meta_knowledge_service:build:212 - 保存表信息和字段信息到数据库成功
2026-09-21 14:25:47.922 | INFO     | app.services.meta_knowledge_service:build:216 - 为字段信息建立向量索引成功
2026-09-21 14:25:48.451 | INFO     | app.services.meta_knowledge_service:build:220 - 为指定的维度字段值建立全文索引成功
2026-09-21 14:25:48.477 | INFO     | app.services.meta_knowledge_service:build:226 - 保存指标信息到数据库成功
2026-09-21 14:26:35.785 | INFO     | app.services.meta_knowledge_service:build:206 - 加载配置文件成功
2026-09-21 14:33:09.214 | INFO     | app.services.meta_knowledge_service:build:206 - 加载配置文件成功
2026-09-21 14:33:09.411 | INFO     | app.services.meta_knowledge_service:build:212 - 保存表信息和字段信息到数据库成功
2026-09-21 14:33:33.413 | INFO     | app.services.meta_knowledge_service:build:216 - 为字段信息建立向量索引成功
2026-09-21 14:33:33.996 | INFO     | app.services.meta_knowledge_service:build:220 - 为指定的维度字段值建立全文索引成功
2026-09-21 14:33:34.020 | INFO     | app.services.meta_knowledge_service:build:226 - 保存指标信息到数据库成功
2026-09-21 14:49:16.432 | INFO     | app.services.meta_knowledge_service:build:206 - 加载配置文件成功
2026-09-21 14:49:16.586 | INFO     | app.services.meta_knowledge_service:build:212 - 保存表信息和字段信息到数据库成功
2026-09-21 14:49:40.094 | INFO     | app.services.meta_knowledge_service:build:216 - 为字段信息建立向量索引成功
2026-09-21 14:49:40.669 | INFO     | app.services.meta_knowledge_service:build:220 - 为指定的维度字段值建立全文索引成功
2026-09-21 14:49:40.693 | INFO     | app.services.meta_knowledge_service:build:226 - 保存指标信息到数据库成功
2026-09-21 14:49:42.664 | INFO     | app.services.meta_knowledge_service:build:230 - 为指标信息建立向量索引成功
